Date,Actual,Predicted,pred_diff,actual_diff,signal
2025-02-03,226.9833984375,235.18640038371086,0.24897668,-1.5828552,0
2025-02-04,231.75184631347656,227.2254068851471,0.24200845,-7.9540253,0
2025-02-05,231.4233245849609,231.9886699616909,0.23682365,4.768448,0
2025-02-06,232.16995239257807,231.6532216966152,0.22989711,-0.3285217,0
2025-02-07,226.60513305664065,232.3920092582702,0.22205687,0.7466278,0
2025-02-10,226.8741912841797,226.82045534253123,0.21532229,-5.5648193,0
2025-02-11,231.8272705078125,227.0893875360489,0.21519625,0.26905823,0
2025-02-12,236.06277465820312,232.0388015806675,0.21153107,4.953079,0
2025-02-13,240.70689392089844,236.26788486540318,0.2051102,4.235504,0
2025-02-14,243.76644897460935,240.90509802103043,0.1982041,4.6441193,0
2025-02-18,243.6368865966797,243.95685677230355,0.1904078,3.059555,0
2025-02-19,244.03550720214844,243.82376258075237,0.18687598,-0.12956238,0
2025-02-20,244.99224853515625,244.21260771155357,0.17710051,0.3986206,0
2025-02-21,244.71319580078125,245.16517940163612,0.17293087,0.9567413,0
2025-02-24,246.25791931152344,244.8823330104351,0.16913721,-0.27905273,0
2025-02-25,246.1981201171875,246.4194334745407,0.16151416,1.5447235,0
2025-02-26,239.5408935546875,246.34638564288616,0.14826553,-0.059799194,0
2025-02-27,236.49131774902344,239.67319770157337,0.13230415,-6.6572266,0
2025-02-28,241.01583862304688,236.61731952428818,0.12600178,-3.0495758,0
2025-03-03,237.2188262939453,241.13830949366093,0.12247087,4.524521,0
2025-03-04,235.1259765625,237.3375977575779,0.11877146,-3.7970123,0
2025-03-05,234.93663024902344,235.24224904179573,0.11627248,-2.0928497,0
2025-03-06,234.52804565429688,235.05653252452612,0.119902276,-0.18934628,0
2025-03-07,238.2552947998047,234.64993052184582,0.12188487,-0.4085846,0
2025-03-10,226.70477294921875,238.3801837787032,0.12488898,3.7272491,0
2025-03-11,220.08740234375,226.83189883828163,0.12712589,-11.550522,0
2025-03-12,216.2405548095703,220.2299661040306,0.14256376,-6.6173706,0
2025-03-13,208.9654235839844,216.39423142373562,0.15367661,-3.8468475,0
2025-03-14,212.762451171875,209.1220869123936,0.15666333,-7.2751307,0
2025-03-17,213.2707061767578,212.9245660752058,0.1621149,3.7970276,0
2025-03-18,211.96519470214844,213.4410289824009,0.1703228,0.508255,0
2025-03-19,214.5064849853516,212.15690770745277,0.191713,-1.3055115,0
2025-03-20,213.37039184570312,214.71628981828692,0.20980483,2.5412903,0
2025-03-21,217.5261688232422,213.59391477704048,0.22352293,-1.1360931,0
2025-03-24,219.97776794433597,217.75698441267014,0.23081559,4.155777,0
2025-03-25,222.98748779296875,220.2076718360186,0.22990389,2.4515991,0
2025-03-26,220.77505493164065,223.217009216547,0.22952142,3.0097198,0
2025-03-27,223.0871734619141,220.99851357936862,0.22345865,-2.2124329,0
2025-03-28,217.1574249267578,223.305844321847,0.21867086,2.3121185,0
2025-03-31,221.37301635742188,217.36904433369637,0.2116194,-5.9297485,0
2025-04-01,222.4293975830078,221.58212867379189,0.20911232,4.2155914,0
2025-04-02,223.12701416015625,222.6368537247181,0.20745614,1.0563812,0
2025-04-03,202.4975433349609,223.32934603095055,0.20233187,0.6976166,0
2025-04-04,187.738037109375,202.69354462623593,0.19600129,-20.629469,0
2025-04-07,180.84161376953125,187.9324412047863,0.1944041,-14.759505,0
2025-04-08,171.83241271972656,181.04984737932682,0.20823361,-6.8964233,0
2025-04-09,198.17236328125,172.07598079741,0.24356808,-9.009201,0
2025-04-10,189.7710723876953,198.45544147491455,0.2830782,26.33995,0
2025-04-11,197.4747314453125,190.18936267495155,0.4182903,-8.401291,0
2025-04-14,201.8298492431641,198.05060648918152,0.57587504,7.7036586,1
2025-04-15,201.4511260986328,202.28742066025737,0.45757142,4.355118,0
2025-04-16,193.6079559326172,201.7352442741394,0.28411818,-0.37872314,0
2025-04-17,196.3087158203125,193.7894657701254,0.18150984,-7.84317,0
2025-04-21,192.50173950195312,196.37931156903505,0.07059575,2.70076,0
2025-04-22,199.059326171875,192.5121799558401,0.010440454,-3.806976,0
2025-04-23,203.9027557373047,199.03416967391968,-0.025156498,6.5575867,0
2025-04-24,207.659912109375,203.83097872138023,-0.071777016,4.8434296,0
2025-04-25,208.5668029785156,207.55394765734673,-0.10596445,3.7571564,0
2025-04-28,209.4238739013672,208.44323620200154,-0.12356678,0.9068908,0
2025-04-29,210.490234375,209.30215951800346,-0.12171438,0.8570709,0
2025-04-30,211.7758331298828,210.3739897608757,-0.116244614,1.0663605,0
2025-05-01,212.59304809570312,211.66891077160835,-0.10692236,1.2855988,0
2025-05-02,204.6501922607422,212.4968014061451,-0.09624669,0.8172149,0
2025-05-05,198.21221923828125,204.53890788555145,-0.111284375,-7.942856,0
2025-05-06,197.83349609375,198.0619432926178,-0.15027595,-6.4379725,0
2025-05-07,195.58120727539065,197.62073814868927,-0.21275795,-0.37872314,0
2025-05-08,196.8169860839844,195.34499031305316,-0.23621696,-2.2522888,0
2025-05-09,197.8534393310547,196.61387315392497,-0.20311293,1.2357788,0
2025-05-12,210.34713745117188,197.76771645247936,-0.08572288,1.0364532,0
2025-05-13,212.48263549804688,210.34228190779686,-0.0048555434,12.493697,0
2025-05-14,211.88389587402344,212.42832338809967,-0.05431211,2.135498,0
2025-05-15,211.00575256347656,211.81796792149544,-0.06592795,-0.5987396,0
2025-05-16,210.81614685058597,210.96675318479538,-0.03899938,-0.8781433,0
2025-05-19,208.3413543701172,210.81073617935184,-0.0054106712,-0.18960571,0
2025-05-20,206.42539978027344,208.3510032147169,0.009648845,-2.4747925,0
2025-05-21,201.6654052734375,206.4486613869667,0.023261607,-1.9159546,0
2025-05-22,200.9369354248047,201.70035594701767,0.034950674,-4.7599945,0
2025-05-23,194.85975646972656,200.9802100583911,0.043274634,-0.7284698,0
